nodeID,xcoord,ycoord,floorNum,building,status
2810,2725,1065,2,45 Francis,OPEN
2820,2360,804,L2,45 Francis,OPEN
2825,2360,799,L1,45 Francis,OPEN
2830,2385,810,1,45 Francis,OPEN
2835,2385,800,2,45 Francis,OPEN
2840,2365,800,3,45 Francis,OPEN
2845,2215,974,L2,45 Francis,OPEN
2850,2220,974,L1,45 Francis,OPEN
2855,2240,985,1,45 Francis,OPEN
2860,2240,965,2,45 Francis,OPEN
2865,2220,985,3,45 Francis,OPEN
2870,1785,924,L2,Tower,OPEN
2875,1785,924,L1,Tower,OPEN
2885,1805,925,2,Tower,OPEN
2890,1790,925,3,Tower,OPEN
2895,1820,1280,L2,Tower,OPEN
2900,1820,1284,L1,Tower,OPEN
2910,1825,1280,2,Tower,OPEN
2915,1815,1290,3,Tower,OPEN
2920,1745,1524,L2,Tower,OPEN
2925,1745,1539,L2,Shapiro,OPEN
2940,2060,1290,3,45 Francis,OPEN
2945,2080,1290,3,45 Francis,OPEN
2950,3345,865,2,45 Francis,OPEN
2955,3360,860,2,15 Francis,OPEN
2960,2085,900,2,45 Francis,OPEN
2965,2105,900,2,45 Francis,OPEN
2970,2085,1280,2,45 Francis,OPEN
2975,2105,1280,2,45 Francis,OPEN
2980,1740,1500,2,Tower,OPEN
2985,1720,1745,2,Shapiro,OPEN
2990,1690,2240,2,Shapiro,OPEN
2995,1690,2455,2,BTM,OPEN
3000,1730,849,L2,Tower,OPEN
2635,2649,936,3,45 Francis,CLOSED
2815,2715,936,3,45 Francis,OPEN
2640,2772,936,3,45 Francis,OPEN
2745,2868,936,3,45 Francis,OPEN
2645,2922,936,3,45 Francis,CLOSED
2905,1810,1280,1,Tower,CLOSED
2765,2631,851,3,45 Francis,CLOSED
2880,1636,930,1,Tower,OPEN
2930,2160,909,1,45 Francis,OPEN
2935,2175,909,1,45 Francis,OPEN
1830,2026,975,1,Tower,OPEN
